"coefficient","Author"
-1.27386173488247,"August Defresne"
-1.2735665698787,"Urbain van de Voorde"
-1.27179328329886,"Is.P. de Vooys"
-1.26958398485931,"V.W.D. Schenk"
-1.26955179181786,"G.W. van der Does"
-1.269529082375,"J.F.M. Sterck"
-1.26952906698081,"René Goris"
-1.26951983159622,"Constant van Wessem"
-1.26951972438226,"Theo Schlichting"
-1.26949161574122,"Kornelis Sneyders de Vogel"
-1.26944704097024,"J.G. van Dillen"
-1.26944703764891,"H. Hettema jr."
-1.26944703645385,"A. Jager"
-1.26944703193751,"E.C. Abendanon"
-1.26942067259448,"Juliaan Vervoort"
-1.26942066807958,"J. Donceel"
-1.26942066356473,"H.F. Koster"
-1.26942065904993,"A. Kriekemans"
-1.26942065453517,"E.A. Ryan"
-1.26660756274762,"V.E. van Uytvanck"
-1.26555203430837,"H. Robbers"
-1.26532686366956,"Paul de Vree"
-1.26371473486616,"Arrigo Levasti"
-1.26107064654079,"Bert Ranke"
-1.26104417355177,"Aleksej Hackel"
-1.26095663060488,"Hermanus Arnoldus Idema"
-1.26095661410385,"Jan Vercammen"
-1.26095660070518,"C.A. Crommelin"
-1.26093839811282,"J.A.J. Barge"
-1.26038775608288,"Aart van der Leeuw"
-1.25991212934559,"Marie Schmitz"
-1.25918286039778,"Ph.J. Simons"
-1.25846499347617,"Hubert Cuypers jr."
-1.2578245335457,"Richard Minne"
-1.2568388927493,"Gerth Schreiner"
-1.2556156299631,"Paul Lebeau"
-1.25542276057463,"H.A. Enno van Gelder"
-1.254985171488,"A.J.D. van Oosten"
-1.2541358751062,"Andries Morlion"
-1.25271733240144,"K. du Bois de Vroylande"
-1.25263608207028,"Marcel Grypdonck"
-1.25261765427463,"H. van der Tuin"
-1.25257242149777,"Aloïs Janssens"
-1.25256276790951,"A. van der Wey"
-1.25252717991511,"J.B. Poukens"
-1.2525221281368,"Dirk Bartling"
-1.25250369060629,"Marius F. Valkhoff"
-1.2524902515216,"Eline Canter Cremers-van der Does"
-1.25249015025033,"Johannes Reitsma A.Tzn."
-1.2524634384101,"Hugo Vandeperre"
-1.25246258330082,"J.J. Soons"
-1.24945996510154,"F. de Sinclair"
-1.24864464273281,"P. van Schilfgaarde"
-1.24823956467795,"Albert van Driessche"
-1.24805580716947,"W.J. van de Woestijne"
-1.24637185542124,"Marcel Lobet"
-1.24632839765192,"Louis de Bourbon"
-1.24427567433754,"Edgard de Bruyne"
-1.24415204653362,"Joh. Hartog"
-1.24413018965287,"P. Verberne"
-1.2441301851077,"Jean-Charles Snoy et d'Oppuers"
-1.24413018056258,"Gabriëlle Demedts"
-1.24407945290073,"Uys Krige"
-1.24405272230913,"C. Kock"
-1.24405256008211,"Otto Forst de Battaglia"
-1.24404771975613,"D.F.W. van Lennep"
-1.24404771579557,"Willem Johannes Leyds"
-1.24404753832658,"A.F. Zwaardemaker"
-1.24404753436718,"Hermann Goetz"
-1.24402085881987,"Ludwig Drees"
-1.24402082865481,"H. Geerts"
-1.24402082470576,"Fernand Van Goethem"
-1.24402004642386,"H. Bovenkerk"
-1.24299831975326,"Willem Elsschot"
-1.24138865656858,"C.B. van Haeringen"
-1.23927687038919,"Eduard A. Serrarens"
-1.23781022903226,"J.A. van Houtte"
-1.23579898083141,"Lode Zielens"
-1.23573376273877,"Willem Nolet"
-1.23572443715093,"W. Arondéus"
-1.23572442205381,"C.H. de Goeje"
-1.23571207114497,"Hendrik Prijs"
